location,count,link
"argenta",59,"/Information/Collections/Mine-Files/Beaverhead/browse.html#argenta"
"elkhorn",53,"/Information/Collections/Mine-Files/Beaverhead/browse.html#elkhorn"
"ajax",43,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ajax"
"bannack",29,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bannack"
"bryant",23,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bryant"
"utopia",18,"/Information/Collections/Mine-Files/Beaverhead/browse.html#utopia"
"blue wing",17,"/Information/Collections/Mine-Files/Beaverhead/browse.html#blue%20wing"
"vipond park",17,"/Information/Collections/Mine-Files/Beaverhead/browse.html#vipond%20park"
"bald mountain",13,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bald%20mountain"
"unorganized",11,"/Information/Collections/Mine-Files/Beaverhead/browse.html#unorganized"
"wisdom",10,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wisdom"
"chinatown",9,"/Information/Collections/Mine-Files/Beaverhead/browse.html#chinatown"
"lost creek",8,"/Information/Collections/Mine-Files/Beaverhead/browse.html#lost%20creek"
"bloody dick",8,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bloody%20dick"
"polaris",5,"/Information/Collections/Mine-Files/Beaverhead/browse.html#polaris"
"pioneer",5,"/Information/Collections/Mine-Files/Beaverhead/browse.html#pioneer"
"elkhorn (coolidge/wise river)",4,"/Information/Collections/Mine-Files/Beaverhead/browse.html#elkhorn%20(coolidge/wise%20river)"
"vipond",4,"/Information/Collections/Mine-Files/Beaverhead/browse.html#vipond"
"horse prairie",4,"/Information/Collections/Mine-Files/Beaverhead/browse.html#horse%20prairie"
"ruby",4,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ruby"
"axes creek",3,"/Information/Collections/Mine-Files/Beaverhead/browse.html#axes%20creek"
"wise river",3,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wise%20river"
"beaverhead",3,"/Information/Collections/Mine-Files/Beaverhead/browse.html#beaverhead"
"saginaw",3,"/Information/Collections/Mine-Files/Beaverhead/browse.html#saginaw"
"dillon",3,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dillon"
"lucky strike",3,"/Information/Collections/Mine-Files/Beaverhead/browse.html#lucky%20strike"
"big muddy",3,"/Information/Collections/Mine-Files/Beaverhead/browse.html#big%20muddy"
"quartz hill",2,"/Information/Collections/Mine-Files/Beaverhead/browse.html#quartz%20hill"
"hecla",2,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hecla"
"ermont",2,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ermont"
"blacktail",2,"/Information/Collections/Mine-Files/Beaverhead/browse.html#blacktail"
"n/a",2,"/Information/Collections/Mine-Files/Beaverhead/browse.html#n/a"
"jake creek",2,"/Information/Collections/Mine-Files/Beaverhead/browse.html#jake%20creek"
"bon accord",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bon%20accord"
"bonanza",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bonanza"
"bostania",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bostania"
"boston group",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#boston%20group"
"bozeadar",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bozeadar"
"bozo",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bozo"
"brown bear",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#brown%20bear"
"brown's lake",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#brown's%20lake"
"burgierosa",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#burgierosa"
"buster",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#buster"
"butte vipond mining co.",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#butte%20vipond%20mining%20co."
"calvert",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#calvert"
"camp creek",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#camp%20creek"
"cannivan gulch moly",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#cannivan%20gulch%20moly"
"canyon creek",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#canyon%20creek"
"capitol mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#capitol%20mine"
"carbonate mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#carbonate%20mine"
"carroll placer",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#carroll%20placer"
"carter creek iron",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#carter%20creek%20iron"
"centennial mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#centennial%20mine"
"central lode",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#central%20lode"
"charter oak",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#charter%20oak"
"bluebird",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bluebird"
"chloride",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#chloride"
"churchill",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#churchill"
"cleopatra",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#cleopatra"
"cleve avon mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#cleve%20avon%20mine"
"clipper",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#clipper"
"comet mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#comet%20mine"
"coolidge",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#coolidge"
"coolridge",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#coolridge"
"copper bell",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#copper%20bell"
"copper queen",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#copper%20queen"
"cottontail mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#cottontail%20mine"
"cowan bar placer",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#cowan%20bar%20placer"
"crescent",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#crescent"
"crown smith dillon",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#crown%20smith%20dillon"
"crystal graphite",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#crystal%20graphite"
"daisy may",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#daisy%20may"
"dakota",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dakota"
"dalys spur",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dalys%20spur"
"dark horse",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dark%20horse"
"davis mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#davis%20mine"
"del monte",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#del%20monte"
"dexter mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dexter%20mine"
"diadem mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#diadem%20mine"
"diamond",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#diamond"
"dillon mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dillon%20mine"
"dillon nickel",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dillon%20nickel"
"discolor",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#discolor"
"doodle bug",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#doodle%20bug"
"dubious",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dubious"
"dubuque",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dubuque"
"dyce creek placer",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#dyce%20creek%20placer"
"eagle",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#eagle"
"echo lode",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#echo%20lode"
"elk creek vermiculite",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#elk%20creek%20vermiculite"
"blue wing mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#blue%20wing%20mine"
"elm orlu",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#elm%20orlu"
"empire",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#empire"
"blue jay",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#blue%20jay"
"ermont placer",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ermont%20placer"
"evolution",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#evolution"
"excelsior",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#excelsior"
"fair play",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#fair%20play"
"fairview",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#fairview"
"faithful bald mtn",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#faithful%20bald%20mtn"
"faithful vipond park",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#faithful%20vipond%20park"
"ferdinand",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ferdinand"
"finvalley",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#finvalley"
"florence",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#florence"
"free silver",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#free%20silver"
"french millsite",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#french%20millsite"
"galena",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#galena"
"gallup",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#gallup"
"garret",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#garret"
"gladstone",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#gladstone"
"glen tungsten mill",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#glen%20tungsten%20mill"
"gold bug",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#gold%20bug"
"gold button",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#gold%20button"
"gold crown",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#gold%20crown"
"gold nugget",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#gold%20nugget"
"gold nugget placer",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#gold%20nugget%20placer"
"gold ridge mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#gold%20ridge%20mine"
"golden dawn",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#golden%20dawn"
"golden eagle",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#golden%20eagle"
"golden era",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#golden%20era"
"golden gate",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#golden%20gate"
"golden leaf",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#golden%20leaf"
"goldfinch",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#goldfinch"
"goldmont",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#goldmont"
"goldsmith",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#goldsmith"
"goldstone",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#goldstone"
"goodview",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#goodview"
"governor",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#governor"
"governor tilden",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#governor%20tilden"
"grace no 1 prospect",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#grace%20no%201%20prospect"
"graphite deposit",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#graphite%20deposit"
"grasshopper 1 lode",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#grasshopper%201%20lode"
"grasshopper placer",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#grasshopper%20placer"
"grasshopper prospect",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#grasshopper%20prospect"
"gray jockey",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#gray%20jockey"
"graybird",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#graybird"
"great western",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#great%20western"
"green lizard",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#green%20lizard"
"greenstone",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#greenstone"
"greenwich",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#greenwich"
"greenwood tailings",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#greenwood%20tailings"
"grotto",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#grotto"
"ground hog",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ground%20hog"
"guy",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#guy"
"h s",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#h%20s"
"haggerty",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#haggerty"
"hamilton",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hamilton"
"hand mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hand%20mine"
"hazel",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hazel"
"blue grass",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#blue%20grass"
"helena",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#helena"
"hendricks",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hendricks"
"hidden treasure",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hidden%20treasure"
"hillside",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hillside"
"hoffman group",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hoffman%20group"
"hogback",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hogback"
"homestake",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#homestake"
"homestake t14s r12w",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#homestake%20t14s%20r12w"
"horace",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#horace"
"horn silver",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#horn%20silver"
"blue eyed annie",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#blue%20eyed%20annie"
"hrs claim group",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#hrs%20claim%20group"
"humboldt",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#humboldt"
"huron",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#huron"
"idanha",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#idanha"
"indian chief",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#indian%20chief"
"indian queen",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#indian%20queen"
"ingersoll",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ingersoll"
"iron age",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#iron%20age"
"iron mask",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#iron%20mask"
"iron mountain",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#iron%20mountain"
"ivanhoe",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ivanhoe"
"ixl",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ixl"
"jack rabbit",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#jack%20rabbit"
"jackson",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#jackson"
"jahnke",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#jahnke"
"jake",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#jake"
"jeanette",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#jeanette"
"jeff davis",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#jeff%20davis"
"junction",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#junction"
"kent",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#kent"
"keokuk",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#keokuk"
"keystone bryant",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#keystone%20bryant"
"blue bell",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#blue%20bell"
"lacy creek",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#lacy%20creek"
"lamplighter",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#lamplighter"
